Position	t=0	t=10	t=30
-4.110000000000019	50.00000000000001	49.96920730007154	47.571241678231885
-4.100000000000019	50.0	49.96837251674402	47.54507454083177
-4.090000000000019	50.00000000000001	49.96726834341495	47.51635027588281
-4.08000000000002	50.0	49.966164170085676	47.48762601093197
-4.07000000000002	50.00000000000001	49.96505999675641	47.458901745981144
-4.06000000000002	50.0	49.96395582342713	47.430177481030306
-4.05000000000002	50.0	49.96285165009786	47.401453216079474
-4.0400000000000205	50.0	49.96174747676859	47.37272895112865
-4.030000000000021	50.0	49.960643303439326	47.34400468617782
-4.020000000000021	50.0	49.95953913011005	47.31528042122699
-4.010000000000021	50.0	49.95843495678079	47.28655615627616
-4.000000000000021	50.00000000000001	49.95733078345152	47.257831891325324
-3.9900000000000215	50.0	49.95587306580671	47.22633198010275
-3.9800000000000217	50.0	49.95441534816166	47.19483206887823
