Time	z=0.1	z=0.25	z=0.5
508.0	1.319831669363672	0.6113472279866659	0.2898799192459455
509.0	1.3185020719738436	0.6107633956874429	0.2896520904148368
510.0	1.3171763510253778	0.6101811599797398	0.289424734817372
511.0	1.3158544881495138	0.6096005138416718	0.2891978511167135
512.0	1.3145364650972982	0.609021450293378	0.2889714379789069
513.0	1.3132222637385864	0.6084439623967062	0.2887454940729077
514.0	1.3119118660610634	0.6078680432549001	0.2885200180706017
515.0	1.3106052541692703	0.6072936860122884	0.28829500864682756
516.0	1.3093024102836341	0.6067208838539793	0.28807046447939966
517.0	1.3080033167395209	0.6061496300055532	0.28784638424912695
518.0	1.3067079559862866	0.6055799177327628	0.28762276663983416
519.0	1.3054163105863406	0.6050117403412334	0.2873996103383811
520.0	1.3041283632142227	0.6044450911761651	0.28717691403468154
521.0	1.3028440966556827	0.6038799636220412	0.2869546764217212
522.0	1.301563493806775	0.603316351102336	0.2867328961955754
523.0	1.3002865376729602	0.6027542470792248	0.28651157205542716
524.0	1.2990132113682116	0.6021936450532996	0.2862907027035815
525.0	1.2977434981141374	0.6016345385632843	0.28607028684548386
526.0	1.2964773812391066	0.6010769211857547	0.28585032318973425
527.0	1.295214844177387	0.600520786534859	0.28563081044810107
528.0	1.2939558704682852	0.5999661282620412	0.2854117473355372
529.0	1.2927004437553078	0.5994129400557697	0.28519313257019374
530.0	1.2914485477853124	0.5988612156412629	0.28497496487343116
531.0	1.290200166407684	0.5983109487802232	0.28475724296983423
532.0	1.2889552835735114	0.5977621332705676	0.28453996558722355
533.0	1.2877138833347723	0.597214762946166	0.2843231314566674
534.0	1.2864759498435248	0.5966688316765774	0.2841067393124929
535.0	1.2852414673511126	0.596124333366792	0.2838907878922968
536.0	1.284010420207373	0.5955812619569726	0.2836752759369558
537.0	1.2827827928598479	0.595039611422199	0.2834602021906377
538.0	1.2815585698530183	0.5944993757722175	0.2832455654008093
539.0	1.2803377358275263	0.593960549051186	0.2830313643182463
540.0	1.2791202755194224	0.5934231253374306	0.28281759769704123
541.0	1.2779061737594066	0.5928870987431955	0.2826042642946136
542.0	1.276695415472082	0.5923524634143995	0.2823913628717151
543.0	1.2754879856752177	0.591819213530395	0.2821788921924402
544.0	1.2742838694790188	0.591287343303727	0.28196685102422936
545.0	1.2730830520853975	0.5907568469798947	0.2817552381378797
546.0	1.2718855187872549	0.5902277188371169	0.28154405230754864
547.0	1.270691254967771	0.5896999531860967	0.2813332923107604
548.0	1.2695002460997011	0.5891735443697902	0.2811229569284131
549.0	1.2683124777446775	0.5886484867631767	0.2809130449447823
550.0	1.2671279355525147	0.5881247747730307	0.2807035551475262
551.0	1.2659466052605284	0.587602402837696	0.28049448632769114
552.0	1.2647684726928574	0.5870813654268604	0.2802858372797148
553.0	1.2635935237597864	0.5865616570413357	0.28007760680143096
554.0	1.2624217444570895	0.5860432722128346	0.2798697936940724
555.0	1.2612531208653608	0.5855262055037556	0.27966239676227506
556.0	1.2600876391493663	0.5850104515069632	0.2794554148140805
557.0	1.2589252855573971	0.5844960048455754	0.27924884666093863
558.0	1.257766046420631	0.5839828601727495	0.2790426911177107
559.0	1.2566099081524857	0.5834710121714721	0.27883694700267
560.0	1.2554568572480054	0.5829604555543486	0.27863161313750573
561.0	1.254306880283223	0.5824511850633961	0.2784266883473233
562.0	1.2531599639145556	0.5819431954698379	0.2782221714606459
563.0	1.2520160948781807	0.5814364815738984	0.2780180613094152
564.0	1.2508752599894377	0.580931038204602	0.27781435672899363
565.0	1.2497374461422246	0.5804268602195718	0.2776110565581636
566.0	1.2486026403084047	0.57992394250483	0.2774081596391275
567.0	1.2474708295372134	0.5794222799746014	0.2772056648175094
568.0	1.246342000954677	0.5789218675711163	0.27700357094235345
569.0	1.2452161417630325	0.5784227002644187	0.276801876866124
570.0	1.244093239240156	0.5779247730521723	0.27660058144470495
571.0	1.2429732807389884	0.5774280809594687	0.2763996835373995
572.0	1.2418562536869835	0.5769326190386403	0.2761991820069281
573.0	1.2407421455855367	0.5764383823690716	0.2759990757194278
574.0	1.2396309440094406	0.5759453660570125	0.2757993635444507
575.0	1.2385226366063378	0.5754535652353935	0.2756000443549627
576.0	1.2374172110961696	0.5749629750636442	0.2754011170273408
577.0	1.2363146552706488	0.5744735907275099	0.2752025804413715
578.0	1.2352149569927144	0.5739854074388724	0.27500443348024917
579.0	1.2341181041960174	0.5734984204355714	0.274806675030572
580.0	1.2330240848843839	0.5730126249812271	0.274609303982341
581.0	1.2319328871313044	0.5725280163650632	0.27441231922895726
582.0	1.230844499079417	0.5720445899017362	0.27421571966721764
583.0	1.2297589089399965	0.5715623409311583	0.27401950419731247
584.0	1.2286761049924508	0.5710812648183285	0.2738236717228227
585.0	1.2275960755838191	0.5706013569531622	0.27362822115071606
586.0	1.2265188091282784	0.5701226127503211	0.2734331513913427
587.0	1.225444294106649	0.5696450276490483	0.2732384613584324
588.0	1.2243725190659085	0.5691685971130007	0.2730441499690908
589.0	1.223303472618707	0.5686933166300845	0.27285021614379484
590.0	1.2222371434428911	0.568219181712292	0.27265665880638806
591.0	1.2211735202810268	0.5677461878955407	0.27246347688407796
592.0	1.2201125919399314	0.5672743307395114	0.2722706693074299
593.0	1.2190543472902058	0.5668036058274889	0.2720782350103629
594.0	1.2179987752657722	0.5663340087662044	0.27188617293014533
595.0	1.2169458648634184	0.5658655351856795	0.27169448200738994
596.0	1.2158956051423393	0.5653981807390684	0.27150316118604867
597.0	1.2148479852236937	0.5649319411025056	0.2713122094134072
598.0	1.2138029942901487	0.5644668119749526	0.27112162564008074
599.0	1.2127606215854487	0.5640027890780452	0.2709314088200075
600.0	1.211720856413967	0.5635398681559439	0.27074155791044474
601.0	1.2106836881402774	0.5630780449751833	0.27055207187196123
602.0	1.2096491061887231	0.5626173153245246	0.2703629496684333
603.0	1.208617100042985	0.5621576750148092	0.2701741902670384
604.0	1.2075876592456625	0.5616991198788116	0.26998579263824884
605.0	1.206560773397856	0.5612416457710951	0.2697977557558267
606.0	1.2055364321587452	0.560785248567869	0.269610078596817
607.0	1.204514625245179	0.5603299241668445	0.2694227601415417
608.0	1.2034953424312682	0.5598756684870948	0.2692357993735939
609.0	1.202478573547978	0.5594224774689148	0.26904919527983046
610.0	1.2014643084827283	0.5589703470736814	0.26886294685036705
611.0	1.2004525371789911	0.5585192732837159	0.26867705307857037
612.0	1.1994432496359038	0.5580692521021465	0.26849151296105184
613.0	1.1984364359078663	0.5576202795527735	0.2683063254976614
614.0	1.197432086104162	0.5571723516799336	0.26812148969148
615.0	1.1964301903885664	0.5567254645483676	0.2679370045488137
616.0	1.195430738978972	0.5562796142430846	0.26775286907918566
617.0	1.194433722147004	0.5558347968692342	0.26756908229533
618.0	1.193439130217646	0.5553910085519737	0.2673856432131844
619.0	1.1924469535688709	0.5549482454363388	0.26720255085188294
620.0	1.1914571826312679	0.5545065036871145	0.2670198042337488
621.0	1.1904698078876834	0.5540657794887096	0.26683740238428794
622.0	1.189484819872848	0.5536260690450273	0.2666553443321795
623.0	1.1885022091730273	0.553187368579342	0.26647362910927175
624.0	1.1875219664256587	0.5527496743341735	0.2662922557505717
625.0	1.1865440823189966	0.5523129825711628	0.2661112232942389
626.0	1.1855685475917674	0.5518772895709501	0.265930530781578
627.0	1.18459535303282	0.5514425916330536	0.2657501772570306
628.0	1.1836244894807781	0.5510088850757475	0.26557016176816794
629.0	1.1826559478237	0.550576166235943	0.26539048336568316
630.0	1.181689718998738	0.5501444314690686	0.2652111411033831
631.0	1.1807257939918083	0.5497136771489521	0.2650321340381815
632.0	1.1797641638372462	0.5492838996677047	0.26485346123008985
633.0	1.178804819617487	0.5488550954356026	0.2646751217422109
634.0	1.1778477524627304	0.5484272608809737	0.26449711464072956
635.0	1.1768929535506174	0.548000392450081	0.264319438994905
636.0	1.1759404141059089	0.5475744866070108	0.2641420938770635
637.0	1.1749901254001636	0.547149539833559	0.2639650783625895
638.0	1.174042078751423	0.5467255486291198	0.26378839152991845
639.0	1.1730962655238943	0.5463025095105741	0.2636120324605276
640.0	1.172152677127639	0.5458804190121794	0.26343600023892777
641.0	1.1712113050182658	0.5454592736854599	0.26326029395265643
642.0	1.1702721406966197	0.5450390700990994	0.26308491269226914
